OrderId,CustomerId,OrderDate,Amount
1,1,2020-12-15 00:00:00,643.12
2,1,2022-07-07 00:00:00,391.54
3,2,2022-02-16 00:00:00,997.41
4,3,2020-10-29 00:00:00,298.89
5,3,2023-01-16 00:00:00,656.66
6,3,2023-06-21 00:00:00,465.4
7,3,2020-11-24 00:00:00,741.39
8,3,2023-04-29 00:00:00,299.81
9,4,2020-08-01 00:00:00,296.8
10,4,2020-07-26 00:00:00,147.59
11,5,2022-02-08 00:00:00,575.17
12,5,2022-10-03 00:00:00,856.37
13,5,2023-01-10 00:00:00,529.9
14,5,2020-02-27 00:00:00,436.34
15,5,2022-02-22 00:00:00,603.52
16,6,2023-05-26 00:00:00,394.23
17,6,2021-01-27 00:00:00,189.4
18,6,2020-09-21 00:00:00,195.01
19,6,2020-03-19 00:00:00,716.36
20,6,2020-08-29 00:00:00,865.6
21,7,2022-10-23 00:00:00,678.95
22,8,2023-05-16 00:00:00,36.48
23,9,2023-11-16 00:00:00,584.18
24,9,2022-10-12 00:00:00,588.71
25,9,2022-07-09 00:00:00,518.49
26,9,2021-01-02 00:00:00,179.54
27,9,2020-04-24 00:00:00,988.7
28,10,2021-06-09 00:00:00,325.96
29,10,2022-12-17 00:00:00,384.87
30,10,2022-09-17 00:00:00,890.19
31,10,2021-01-21 00:00:00,428.3
32,11,2023-02-14 00:00:00,675.36
33,11,2022-09-27 00:00:00,338.42
34,12,2021-01-03 00:00:00,254.6
35,12,2021-11-03 00:00:00,37.97
36,12,2020-03-25 00:00:00,379.62
37,12,2022-08-08 00:00:00,493.6
38,12,2021-02-07 00:00:00,148.73
39,13,2020-05-09 00:00:00,161.31
40,14,2023-05-02 00:00:00,210.74
41,14,2023-07-21 00:00:00,836.7
42,14,2022-06-16 00:00:00,32.61
43,15,2021-05-28 00:00:00,431.27
44,15,2021-05-03 00:00:00,108.21
45,15,2021-06-04 00:00:00,488.27
46,15,2022-09-30 00:00:00,886.04
47,16,2022-06-09 00:00:00,851.72
48,17,2023-12-23 00:00:00,407.12
49,17,2022-08-25 00:00:00,288.64
50,17,2023-11-03 00:00:00,381.26
51,17,2020-07-07 00:00:00,476.69
52,18,2021-03-09 00:00:00,401.36
53,18,2020-11-03 00:00:00,745.07
54,18,2021-04-01 00:00:00,996.41
55,19,2020-12-04 00:00:00,927.95
56,19,2022-12-14 00:00:00,113.54
57,19,2021-12-25 00:00:00,182.53
58,19,2022-01-22 00:00:00,668.02
59,19,2021-08-13 00:00:00,856.77
60,20,2021-01-06 00:00:00,136.93
61,20,2023-05-15 00:00:00,423.11
62,20,2022-09-26 00:00:00,813.86
63,20,2023-04-12 00:00:00,693.56
64,20,2023-09-25 00:00:00,557.88
65,21,2022-02-01 00:00:00,531.14
66,21,2022-09-29 00:00:00,47.49
67,21,2023-10-12 00:00:00,348.73
68,21,2023-02-09 00:00:00,637.72
69,22,2023-01-12 00:00:00,773.44
70,22,2020-05-23 00:00:00,726.7
71,22,2023-04-10 00:00:00,41.47
72,23,2021-08-11 00:00:00,245.66
73,23,2021-03-01 00:00:00,607.46
74,23,2021-10-21 00:00:00,299.22
75,24,2021-04-26 00:00:00,708.05
76,24,2021-10-13 00:00:00,803.83
77,24,2023-04-19 00:00:00,591.99
78,25,2021-05-20 00:00:00,947.87
79,25,2020-03-23 00:00:00,705.66
80,26,2022-09-10 00:00:00,929.03
81,26,2021-04-18 00:00:00,501.55
82,27,2023-07-02 00:00:00,286.27
83,27,2020-01-13 00:00:00,531.51
84,28,2022-11-02 00:00:00,799.43
85,28,2023-11-04 00:00:00,203.09
86,29,2020-09-13 00:00:00,17.6
87,29,2023-01-01 00:00:00,474.1
88,29,2020-03-20 00:00:00,244.73
89,29,2023-09-24 00:00:00,380.4
90,30,2023-09-29 00:00:00,368.35
91,30,2023-08-30 00:00:00,866.92
92,30,2022-08-22 00:00:00,700.76
93,30,2023-12-31 00:00:00,729.88
94,30,2021-02-13 00:00:00,509.92
95,31,2022-03-10 00:00:00,382.35
96,31,2020-06-07 00:00:00,296.66
97,31,2022-06-26 00:00:00,631.32
98,32,2022-12-07 00:00:00,734.98
99,33,2022-04-18 00:00:00,320.84
100,33,2022-07-02 00:00:00,228.32
101,33,2021-01-09 00:00:00,865.4
102,34,2022-03-28 00:00:00,486.09
103,35,2021-11-18 00:00:00,375.3
104,36,2022-08-01 00:00:00,419.23
105,37,2022-02-08 00:00:00,225.62
106,38,2022-05-25 00:00:00,892.5
107,38,2020-11-04 00:00:00,553.27
108,38,2020-11-22 00:00:00,306.82
109,39,2023-03-26 00:00:00,835.95
110,39,2022-04-21 00:00:00,311.94
111,39,2023-12-21 00:00:00,159.83
112,40,2022-01-31 00:00:00,978.75
113,40,2021-09-23 00:00:00,217.4
114,40,2020-12-18 00:00:00,402.86
115,40,2022-07-01 00:00:00,142.82
116,41,2020-12-17 00:00:00,493.0
117,42,2020-11-13 00:00:00,442.76
118,42,2022-05-15 00:00:00,269.31
119,42,2022-02-03 00:00:00,575.78
120,42,2022-12-25 00:00:00,934.08
121,43,2022-02-15 00:00:00,736.8
122,44,2021-03-23 00:00:00,426.9
123,44,2023-04-11 00:00:00,976.69
124,44,2020-12-10 00:00:00,907.62
125,44,2020-09-25 00:00:00,429.67
126,45,2022-04-05 00:00:00,512.25
127,45,2020-11-10 00:00:00,666.75
128,45,2022-03-16 00:00:00,776.89
129,45,2022-08-25 00:00:00,684.82
130,46,2023-12-09 00:00:00,341.31
131,46,2020-11-21 00:00:00,992.29
132,47,2023-05-21 00:00:00,250.85
133,48,2020-09-29 00:00:00,645.92
134,48,2021-03-17 00:00:00,811.43
135,48,2022-04-18 00:00:00,934.78
136,49,2022-08-16 00:00:00,719.94
137,49,2022-02-05 00:00:00,409.32
138,49,2020-02-09 00:00:00,339.58
139,49,2020-04-09 00:00:00,242.21
140,50,2023-03-17 00:00:00,328.72
141,50,2020-04-04 00:00:00,801.15
142,50,2021-07-10 00:00:00,93.04
143,50,2022-01-29 00:00:00,974.34
144,51,2021-04-03 00:00:00,109.66
145,52,2022-11-01 00:00:00,739.3
146,52,2021-03-22 00:00:00,707.24
147,52,2023-07-30 00:00:00,780.96
148,53,2023-02-08 00:00:00,852.75
149,53,2021-11-25 00:00:00,563.24
150,53,2020-12-28 00:00:00,746.55
151,53,2022-06-09 00:00:00,396.06
152,53,2022-06-02 00:00:00,255.63
153,54,2023-08-25 00:00:00,685.91
154,54,2021-02-22 00:00:00,424.42
155,54,2020-12-24 00:00:00,452.51
156,54,2020-02-10 00:00:00,934.18
157,54,2021-09-27 00:00:00,741.02
158,55,2023-02-03 00:00:00,726.12
159,56,2023-08-27 00:00:00,210.81
160,56,2021-12-14 00:00:00,671.59
161,57,2023-02-01 00:00:00,752.87
162,57,2022-12-28 00:00:00,775.52
163,57,2022-05-13 00:00:00,532.79
164,58,2023-08-16 00:00:00,557.62
165,59,2020-12-21 00:00:00,294.4
166,59,2023-05-26 00:00:00,156.35
167,59,2021-08-18 00:00:00,757.09
168,60,2021-10-14 00:00:00,22.55
169,61,2023-08-10 00:00:00,501.88
170,61,2023-07-11 00:00:00,225.21
171,61,2022-06-15 00:00:00,165.96
172,62,2022-07-12 00:00:00,45.95
173,62,2022-06-26 00:00:00,919.51
174,63,2022-10-25 00:00:00,63.39
175,63,2021-06-12 00:00:00,907.34
176,63,2021-11-23 00:00:00,320.23
177,63,2020-05-06 00:00:00,419.82
178,63,2021-09-18 00:00:00,910.56
179,64,2020-01-29 00:00:00,605.65
180,64,2022-06-28 00:00:00,501.0
181,64,2022-07-25 00:00:00,488.28
182,64,2023-01-30 00:00:00,955.63
183,64,2022-09-14 00:00:00,758.33
184,65,2023-03-16 00:00:00,492.43
185,66,2020-02-17 00:00:00,369.14
186,66,2020-02-15 00:00:00,520.24
187,67,2023-01-24 00:00:00,950.37
188,68,2023-02-03 00:00:00,514.34
189,68,2023-05-15 00:00:00,151.35
190,68,2022-12-23 00:00:00,225.37
191,68,2020-02-25 00:00:00,142.07
192,69,2022-07-05 00:00:00,454.02
193,69,2022-09-03 00:00:00,573.84
194,69,2023-04-08 00:00:00,46.72
195,69,2023-06-25 00:00:00,506.53
196,69,2020-01-25 00:00:00,700.31
197,70,2021-06-01 00:00:00,674.14
198,70,2022-06-27 00:00:00,151.62
199,70,2023-11-25 00:00:00,618.3
200,71,2020-02-21 00:00:00,853.82
201,71,2023-02-12 00:00:00,59.42
202,71,2020-10-12 00:00:00,49.53
203,71,2021-01-27 00:00:00,34.24
204,72,2020-01-01 00:00:00,741.95
205,72,2020-03-22 00:00:00,28.95
206,73,2022-12-15 00:00:00,921.91
207,73,2020-08-13 00:00:00,276.13
208,73,2022-12-26 00:00:00,665.3
209,73,2021-07-20 00:00:00,609.0
210,74,2023-04-22 00:00:00,706.06
211,74,2020-07-06 00:00:00,314.48
212,74,2023-04-18 00:00:00,290.52
213,74,2020-01-10 00:00:00,684.88
214,75,2020-10-29 00:00:00,514.0
215,75,2023-05-23 00:00:00,471.91
216,75,2023-10-07 00:00:00,318.15
217,76,2023-12-17 00:00:00,570.85
218,77,2022-11-01 00:00:00,399.2
219,77,2023-11-22 00:00:00,585.21
220,78,2022-09-01 00:00:00,456.7
221,78,2022-09-02 00:00:00,444.15
222,78,2023-10-03 00:00:00,713.63
223,78,2020-09-27 00:00:00,216.54
224,79,2020-05-07 00:00:00,461.38
225,79,2020-10-04 00:00:00,19.32
226,80,2020-06-21 00:00:00,789.51
227,80,2020-11-30 00:00:00,315.43
228,80,2022-05-27 00:00:00,781.68
229,80,2022-01-25 00:00:00,838.13
230,80,2022-03-08 00:00:00,381.82
231,81,2021-05-17 00:00:00,80.95
232,81,2023-12-24 00:00:00,917.68
233,81,2022-02-27 00:00:00,106.34
234,82,2022-02-19 00:00:00,534.85
235,82,2020-10-22 00:00:00,335.2
236,82,2023-07-09 00:00:00,188.46
237,82,2023-02-22 00:00:00,851.77
238,83,2022-05-31 00:00:00,915.34
239,83,2020-11-22 00:00:00,516.1
240,83,2022-12-29 00:00:00,567.04
241,83,2020-06-28 00:00:00,132.67
242,83,2022-10-08 00:00:00,292.22
243,84,2021-01-11 00:00:00,418.29
244,84,2021-08-24 00:00:00,528.81
245,84,2023-12-05 00:00:00,185.76
246,85,2021-05-07 00:00:00,214.19
247,85,2021-01-02 00:00:00,87.94
248,85,2020-07-19 00:00:00,345.62
249,85,2021-05-14 00:00:00,310.34
250,85,2021-09-27 00:00:00,705.84
251,86,2020-01-14 00:00:00,726.84
252,87,2023-03-08 00:00:00,764.47
253,87,2022-04-29 00:00:00,473.22
254,87,2022-05-16 00:00:00,710.2
255,87,2022-08-31 00:00:00,243.57
256,87,2022-06-18 00:00:00,29.17
257,88,2022-06-24 00:00:00,596.56
258,88,2021-02-11 00:00:00,953.86
259,88,2022-03-09 00:00:00,852.04
260,88,2021-02-14 00:00:00,853.93
261,89,2023-07-30 00:00:00,339.85
262,89,2020-07-09 00:00:00,934.6
263,89,2023-05-24 00:00:00,399.15
264,89,2021-07-22 00:00:00,954.13
265,90,2020-03-02 00:00:00,764.81
266,90,2023-03-20 00:00:00,569.25
267,90,2020-04-05 00:00:00,666.54
268,90,2020-06-27 00:00:00,377.0
